,,top,mid_L_top,mid_R_top,mid_L_bot,mid_R_bot,bot_L,bot_R,"
"
vid_37_frame_245_8.jpg,N/A,"[13, 2]","[9, 14]","[18, 13]","[9, 23]","[21, 21]","[8, 33]","[25, 32]",
vid_37_frame_423_1.jpg,N/A,"[20, 1]","[14, 16]","[28, 15]","[12, 31]","[31, 31]","[10, 48]","[34, 47]",
vid_37_frame_552_4.jpg,N/A,"[12, 1]","[7, 12]","[17, 12]","[6, 21]","[17, 21]","[5, 30]","[19, 30]",
vid_37_frame_211_3.jpg,N/A,"[20, 3]","[13, 20]","[29, 19]","[10, 35]","[32, 34]","[9, 52]","[36, 52]",
vid_37_frame_447_3.jpg,N/A,"[24, 0]","[17, 15]","[28, 15]","[14, 28]","[30, 28]","[9, 44]","[35, 42]",
vid_37_frame_447_2.jpg,N/A,"[18, 3]","[12, 17]","[26, 16]","[11, 30]","[29, 29]","[8, 46]","[33, 44]",
vid_37_frame_517_0.jpg,N/A,"[28, 2]","[17, 34]","[44, 33]","[14, 63]","[51, 59]","[11, 94]","[60, 91]",
vid_37_frame_255_3.jpg,N/A,"[13, 3]","[8, 14]","[18, 13]","[6, 26]","[21, 25]","[5, 36]","[23, 36]",
vid_37_frame_255_1.jpg,N/A,"[20, 1]","[14, 20]","[28, 19]","[12, 36]","[33, 35]","[10, 55]","[38, 52]",
vid_37_frame_248_1.jpg,N/A,"[25, 1]","[17, 19]","[35, 16]","[17, 35]","[40, 32]","[16, 53]","[46, 49]",
vid_37_frame_404_0.jpg,N/A,"[23, 1]","[16, 19]","[32, 18]","[15, 34]","[35, 33]","[12, 51]","[40, 49]",
vid_37_frame_279_3.jpg,N/A,"[14, 2]","[9, 16]","[21, 15]","[7, 27]","[23, 27]","[6, 42]","[26, 40]",
vid_37_frame_532_6.jpg,N/A,"[29, 3]","[20, 23]","[37, 23]","[17, 41]","[40, 41]","[12, 61]","[45, 59]",
vid_37_frame_367_1.jpg,N/A,"[29, 4]","[19, 27]","[37, 27]","[15, 45]","[41, 46]","[9, 67]","[44, 68]",
vid_37_frame_278_3.jpg,N/A,"[23, 2]","[16, 24]","[34, 24]","[15, 41]","[38, 41]","[11, 62]","[44, 59]",
vid_37_frame_345_7.jpg,N/A,"[19, 3]","[12, 16]","[23, 16]","[9, 25]","[24, 26]","[5, 38]","[26, 38]",
vid_37_frame_378_1.jpg,N/A,"[26, 6]","[19, 21]","[31, 21]","[16, 32]","[33, 34]","[11, 47]","[31, 49]",
vid_37_frame_413_3.jpg,N/A,"[21, 2]","[16, 21]","[30, 19]","[15, 37]","[35, 34]","[10, 55]","[41, 52]",
vid_37_frame_544_3.jpg,N/A,"[12, 0]","[6, 10]","[15, 10]","[5, 21]","[16, 20]","[4, 30]","[20, 30]",
vid_37_frame_350_3.jpg,N/A,"[17, 2]","[11, 15]","[22, 15]","[9, 23]","[23, 23]","[5, 37]","[25, 37]",
vid_37_frame_255_6.jpg,N/A,"[10, 2]","[6, 10]","[13, 10]","[5, 17]","[14, 17]","[4, 25]","[16, 25]",
vid_37_frame_361_4.jpg,N/A,"[23, 1]","[17, 21]","[35, 19]","[16, 39]","[41, 36]","[15, 60]","[47, 56]",
vid_37_frame_244_6.jpg,N/A,"[14, 2]","[9, 14]","[17, 13]","[9, 24]","[22, 23]","[7, 34]","[25, 34]",
vid_37_frame_260_0.jpg,N/A,"[24, 2]","[16, 21]","[32, 20]","[15, 37]","[37, 36]","[13, 55]","[41, 51]",
vid_37_frame_365_4.jpg,N/A,"[11, 1]","[6, 16]","[18, 15]","[5, 29]","[20, 27]","[5, 41]","[25, 41]",
vid_37_frame_517_1.jpg,N/A,"[27, 2]","[19, 21]","[34, 21]","[16, 39]","[37, 38]","[11, 56]","[40, 57]",
vid_37_frame_528_7.jpg,N/A,"[16, 1]","[10, 15]","[25, 14]","[9, 28]","[30, 25]","[10, 42]","[33, 39]",
vid_37_frame_190_4.jpg,N/A,"[19, 2]","[13, 16]","[25, 16]","[10, 27]","[27, 27]","[7, 41]","[31, 40]",
vid_37_frame_521_0.jpg,N/A,"[19, 5]","[12, 23]","[28, 21]","[11, 38]","[32, 36]","[8, 56]","[36, 54]",
vid_37_frame_174_2.jpg,N/A,"[24, 1]","[18, 16]","[32, 16]","[15, 33]","[36, 33]","[12, 49]","[39, 48]",
vid_37_frame_348_1.jpg,N/A,"[16, 3]","[10, 15]","[21, 15]","[9, 27]","[23, 27]","[5, 40]","[25, 40]",
vid_37_frame_348_4.jpg,N/A,"[23, 7]","[13, 22]","[29, 24]","[9, 35]","[31, 37]","[6, 50]","[31, 51]",
vid_37_frame_532_2.jpg,N/A,"[12, 1]","[8, 15]","[20, 14]","[8, 27]","[23, 25]","[7, 42]","[29, 39]",
vid_37_frame_346_4.jpg,N/A,"[13, 0]","[9, 10]","[18, 10]","[7, 20]","[19, 21]","[4, 31]","[21, 31]",
vid_37_frame_242_5.jpg,N/A,"[14, 1]","[8, 11]","[20, 12]","[6, 20]","[21, 20]","[6, 28]","[21, 29]",
vid_37_frame_204_2.jpg,N/A,"[20, 2]","[13, 16]","[24, 16]","[11, 25]","[26, 26]","[6, 38]","[27, 40]",
vid_37_frame_364_5.jpg,N/A,"[9, 1]","[4, 13]","[16, 12]","[3, 25]","[18, 23]","[3, 36]","[23, 35]",
vid_37_frame_517_3.jpg,N/A,"[21, 9]","[11, 23]","[27, 24]","[8, 34]","[28, 36]","[3, 49]","[28, 51]",
vid_37_frame_362_2.jpg,N/A,"[19, 4]","[12, 21]","[26, 21]","[10, 33]","[28, 33]","[7, 48]","[32, 49]",
vid_37_frame_357_8.jpg,N/A,"[12, 2]","[6, 14]","[18, 12]","[5, 24]","[21, 23]","[5, 34]","[23, 33]",
vid_37_frame_188_2.jpg,N/A,"[42, 3]","[29, 28]","[52, 30]","[24, 49]","[54, 50]","[15, 74]","[58, 77]",
vid_37_frame_346_5.jpg,N/A,"[18, 2]","[11, 14]","[23, 15]","[9, 24]","[24, 25]","[5, 37]","[25, 38]",
vid_37_frame_260_1.jpg,N/A,"[18, 2]","[13, 16]","[23, 16]","[12, 26]","[24, 26]","[8, 39]","[26, 39]",
vid_37_frame_231_2.jpg,N/A,"[15, 3]","[9, 14]","[21, 14]","[8, 24]","[23, 24]","[6, 35]","[23, 35]",
vid_37_frame_188_5.jpg,N/A,"[10, 13]","[6, 24]","[16, 24]","[6, 31]","[17, 30]","[5, 40]","[21, 39]",
vid_37_frame_232_4.jpg,N/A,"[23, 6]","[13, 23]","[28, 24]","[9, 36]","[29, 37]","[5, 49]","[32, 52]",
vid_37_frame_535_0.jpg,N/A,"[20, 2]","[13, 23]","[32, 21]","[11, 44]","[40, 40]","[10, 65]","[46, 60]",
vid_37_frame_353_3.jpg,N/A,"[14, 2]","[9, 12]","[18, 12]","[8, 24]","[21, 23]","[5, 35]","[24, 34]",
vid_37_frame_432_3.jpg,N/A,"[38, 2]","[24, 25]","[44, 27]","[20, 43]","[45, 45]","[13, 66]","[49, 69]",
vid_37_frame_539_3.jpg,N/A,"[33, 4]","[24, 24]","[40, 25]","[19, 41]","[43, 42]","[13, 60]","[46, 62]",
vid_37_frame_188_3.jpg,N/A,"[38, 4]","[25, 25]","[46, 26]","[20, 41]","[48, 43]","[14, 62]","[50, 64]",
vid_37_frame_174_7.jpg,N/A,"[18, 1]","[11, 13]","[22, 13]","[6, 23]","[23, 24]","[4, 35]","[24, 37]",
vid_37_frame_540_1.jpg,N/A,"[43, 5]","[30, 32]","[53, 34]","[24, 53]","[56, 57]","[14, 81]","[58, 83]",
vid_37_frame_252_1.jpg,N/A,"[23, 5]","[15, 24]","[30, 24]","[11, 39]","[32, 38]","[8, 55]","[36, 55]",
vid_37_frame_196_2.jpg,N/A,"[11, 2]","[6, 13]","[16, 12]","[6, 23]","[17, 22]","[5, 33]","[21, 33]",
vid_37_frame_232_2.jpg,N/A,"[22, 2]","[13, 28]","[35, 25]","[11, 52]","[41, 49]","[11, 75]","[47, 69]",
vid_37_frame_536_0.jpg,N/A,"[21, 2]","[14, 19]","[28, 18]","[13, 29]","[29, 31]","[8, 43]","[32, 46]",
vid_37_frame_362_1.jpg,N/A,"[36, 3]","[25, 24]","[44, 26]","[21, 41]","[46, 43]","[14, 64]","[50, 65]",
vid_37_frame_245_0.jpg,N/A,"[28, 5]","[18, 22]","[34, 23]","[16, 37]","[34, 37]","[11, 53]","[40, 54]",
vid_37_frame_248_3.jpg,N/A,"[12, 3]","[8, 14]","[18, 14]","[7, 22]","[19, 21]","[5, 32]","[22, 31]",
vid_37_frame_262_3.jpg,N/A,"[15, 1]","[9, 14]","[21, 14]","[6, 25]","[23, 25]","[6, 38]","[25, 37]",
vid_37_frame_414_2.jpg,N/A,"[17, 1]","[10, 16]","[25, 15]","[9, 31]","[29, 29]","[8, 47]","[34, 44]",
vid_37_frame_205_3.jpg,N/A,"[19, 2]","[13, 15]","[23, 15]","[11, 24]","[24, 25]","[7, 35]","[25, 37]",
vid_37_frame_259_3.jpg,N/A,"[20, 6]","[14, 21]","[27, 20]","[12, 35]","[31, 34]","[9, 50]","[33, 49]",
vid_37_frame_413_11.jpg,N/A,"[16, 3]","[13, 13]","[23, 12]","[12, 23]","[26, 21]","[11, 34]","[28, 31]",
vid_37_frame_174_5.jpg,N/A,"[11, 2]","[6, 11]","[15, 11]","[4, 20]","[16, 21]","[2, 30]","[17, 30]",
vid_37_frame_516_3.jpg,N/A,"[25, 2]","[16, 15]","[30, 17]","[11, 26]","[30, 28]","[7, 39]","[30, 41]",
vid_37_frame_377_0.jpg,N/A,"[23, 2]","[16, 17]","[28, 18]","[13, 29]","[29, 30]","[8, 42]","[32, 45]",
vid_37_frame_241_3.jpg,N/A,"[16, 5]","[8, 19]","[22, 19]","[8, 31]","[23, 31]","[6, 42]","[25, 42]",
vid_37_frame_430_3.jpg,N/A,"[23, 4]","[18, 19]","[29, 18]","[16, 33]","[32, 32]","[11, 45]","[35, 46]",
vid_37_frame_242_3.jpg,N/A,"[21, 2]","[14, 16]","[27, 16]","[12, 27]","[28, 28]","[7, 40]","[29, 40]",
vid_37_frame_364_1.jpg,N/A,"[20, 4]","[12, 26]","[30, 25]","[11, 46]","[36, 42]","[9, 67]","[42, 62]",
vid_36_frame_55_3.jpg,N/A,"[22, 2]","[15, 14]","[28, 15]","[13, 24]","[29, 25]","[11, 35]","[30, 35]",
vid_37_frame_546_1.jpg,N/A,"[21, 3]","[13, 20]","[27, 21]","[10, 33]","[29, 34]","[5, 49]","[32, 51]",
vid_37_frame_182_4.jpg,N/A,"[29, 2]","[17, 23]","[37, 24]","[13, 42]","[40, 43]","[7, 61]","[42, 64]",
vid_37_frame_400_2.jpg,N/A,"[37, 4]","[25, 22]","[43, 24]","[20, 40]","[44, 43]","[14, 59]","[49, 63]",
vid_37_frame_180_1.jpg,N/A,"[44, 4]","[29, 27]","[53, 29]","[25, 47]","[54, 50]","[16, 71]","[56, 75]",
vid_31_frame_3230_1.jpg,N/A,"[11, 2]","[6, 15]","[15, 15]","[5, 25]","[18, 25]","[3, 31]","[18, 31]",
vid_37_frame_361_3.jpg,N/A,"[25, 4]","[17, 23]","[32, 23]","[13, 38]","[35, 39]","[9, 55]","[39, 57]",
vid_37_frame_180_2.jpg,N/A,"[23, 2]","[14, 18]","[29, 18]","[10, 29]","[30, 31]","[6, 44]","[30, 46]",
vid_37_frame_197_5.jpg,N/A,"[15, 1]","[9, 15]","[23, 14]","[8, 28]","[26, 28]","[7, 42]","[30, 41]",
vid_37_frame_180_7.jpg,N/A,"[16, 4]","[9, 15]","[20, 15]","[7, 23]","[20, 23]","[4, 33]","[20, 34]",
vid_37_frame_244_5.jpg,N/A,"[41, 4]","[26, 25]","[47, 29]","[20, 45]","[50, 49]","[14, 65]","[51, 72]",
vid_37_frame_197_6.jpg,N/A,"[9, 1]","[5, 10]","[12, 10]","[4, 19]","[14, 18]","[3, 27]","[17, 27]",
vid_37_frame_352_4.jpg,N/A,"[15, 4]","[10, 19]","[22, 18]","[8, 30]","[24, 30]","[6, 44]","[28, 43]",
vid_37_frame_543_1.jpg,N/A,"[16, 1]","[11, 13]","[19, 13]","[8, 25]","[22, 25]","[6, 37]","[24, 37]",
vid_37_frame_350_5.jpg,N/A,"[15, 4]","[10, 14]","[19, 14]","[9, 25]","[21, 24]","[7, 36]","[24, 35]",
vid_37_frame_540_3.jpg,N/A,"[16, 0]","[12, 13]","[21, 13]","[10, 24]","[23, 24]","[9, 36]","[26, 35]",
vid_37_frame_515_2.jpg,N/A,"[17, 0]","[11, 10]","[20, 11]","[8, 21]","[21, 22]","[7, 29]","[23, 30]",
vid_37_frame_551_0.jpg,N/A,"[24, 3]","[15, 25]","[34, 24]","[12, 44]","[38, 43]","[9, 64]","[44, 64]",
vid_37_frame_516_9.jpg,N/A,"[17, 2]","[11, 12]","[21, 12]","[8, 19]","[21, 20]","[5, 28]","[22, 30]",
vid_37_frame_512_1.jpg,N/A,"[25, 3]","[15, 16]","[31, 18]","[10, 30]","[32, 32]","[5, 44]","[30, 46]",
vid_37_frame_414_1.jpg,N/A,"[14, 3]","[10, 16]","[22, 15]","[9, 27]","[25, 26]","[8, 40]","[29, 37]",
vid_37_frame_521_3.jpg,N/A,"[26, 7]","[16, 25]","[34, 25]","[14, 40]","[36, 40]","[10, 58]","[38, 59]",
vid_37_frame_395_1.jpg,N/A,"[18, 3]","[11, 16]","[25, 16]","[9, 31]","[27, 30]","[7, 44]","[29, 44]",
vid_37_frame_361_6.jpg,N/A,"[16, 2]","[11, 20]","[28, 19]","[9, 35]","[33, 32]","[11, 52]","[38, 48]",
vid_37_frame_452_1.jpg,N/A,"[19, 2]","[13, 20]","[27, 18]","[12, 36]","[31, 34]","[8, 53]","[36, 50]",
vid_37_frame_352_3.jpg,N/A,"[16, 5]","[9, 17]","[20, 18]","[8, 27]","[21, 27]","[4, 38]","[22, 38]",
vid_37_frame_353_1.jpg,N/A,"[40, 6]","[24, 30]","[47, 32]","[18, 50]","[49, 54]","[10, 72]","[52, 77]",
vid_37_frame_357_1.jpg,N/A,"[27, 6]","[20, 24]","[34, 24]","[17, 37]","[36, 38]","[11, 54]","[40, 53]",
vid_37_frame_248_10.jpg,N/A,"[15, 2]","[10, 14]","[24, 12]","[9, 26]","[29, 24]","[10, 39]","[32, 36]",
vid_37_frame_350_0.jpg,N/A,"[32, 3]","[21, 24]","[39, 24]","[16, 41]","[41, 42]","[10, 60]","[44, 61]",
vid_37_frame_214_0.jpg,N/A,"[20, 8]","[12, 25]","[26, 25]","[9, 40]","[30, 39]","[7, 56]","[34, 54]",
vid_37_frame_362_5.jpg,N/A,"[16, 1]","[11, 20]","[28, 18]","[10, 36]","[32, 33]","[8, 53]","[40, 49]",
vid_37_frame_528_5.jpg,N/A,"[22, 2]","[15, 23]","[32, 21]","[13, 41]","[38, 39]","[12, 62]","[43, 58]",
